GENE_symbol	DRUG_name	DRUG_type
GABRB1	Methyprylon	approvedillicitwithdrawn
GABRQ	Methyprylon	approvedillicitwithdrawn
GABRG3	Methyprylon	approvedillicitwithdrawn
GABRB3	Methyprylon	approvedillicitwithdrawn
GABRD	Methyprylon	approvedillicitwithdrawn
GABRE	Methyprylon	approvedillicitwithdrawn
GABRA2	Methyprylon	approvedillicitwithdrawn
GABRG2	Methyprylon	approvedillicitwithdrawn
GABRA1	Methyprylon	approvedillicitwithdrawn
GABRA4	Methyprylon	approvedillicitwithdrawn
HSD3B2	Trilostane	approvedinvestigationalvet_approvedwithdrawn
ESR1	Trilostane	approvedinvestigationalvet_approvedwithdrawn
HSD3B1	Trilostane	approvedinvestigationalvet_approvedwithdrawn
ESR2	Trilostane	approvedinvestigationalvet_approvedwithdrawn
SERPINC1	Heparin	approvedinvestigational
F10	Heparin	approvedinvestigational
PDE4B	Papaverine	approved
HRH1	Chlorphenamine	approved
CACNA1D	Nifedipine	approved
CACNA1C	Nifedipine	approved
CACNA2D1	Nifedipine	approved
CACNB2	Nifedipine	approved
CACNA1S	Nifedipine	approved
CHRNA10	Trimethaphan	approved
KCNH2	Amiodarone	approvedinvestigational
ADRB1	Amiodarone	approvedinvestigational
CACNA2D2	Amiodarone	approvedinvestigational
CA1	Diazoxide	approved
KCNJ11	Diazoxide	approved
CA2	Diazoxide	approved
ABCC8	Gliclazide	approved
SCN1A	Phenacemide	approved
ACHE	Ambenonium	approved
ABCC8	Tolbutamide	approved
GGCX	Anisindione	approved
SRD5A2	Dutasteride	approvedinvestigational
SRD5A1	Dutasteride	approvedinvestigational
AR	Bicalutamide	approved
ATP4A	Rabeprazole	approvedinvestigational
NR3C1	Prednicarbate	approved
DHFR	Proguanil	approved
PPARG	Pioglitazone	approvedinvestigational
NR3C2	Desoxycorticosterone Pivalate	experimentalvet_approved
CHRNA2	Doxacurium chloride	approved
ADRB1	Carvedilol	approvedinvestigational
ADRA1A	Carvedilol	approvedinvestigational
TOP2A	Levofloxacin	approvedinvestigational
ABCC1	Sulfinpyrazone	approved
ABCC2	Sulfinpyrazone	approved
SLC22A12	Sulfinpyrazone	approved
HTR2A	Doxepin	approved
CHRM1	Doxepin	approved
SLC6A2	Doxepin	approved
SLC6A4	Doxepin	approved
CHRM5	Doxepin	approved
HTR2B	Doxepin	approved
CHRM2	Doxepin	approved
HTR1A	Doxepin	approved
HRH1	Doxepin	approved
CHRM3	Doxepin	approved
HTR2C	Doxepin	approved
HRH2	Doxepin	approved
CHRM4	Doxepin	approved
ALPPL2	Amifostine	approvedinvestigational
CA2	Diclofenamide	approved
CA7	Diclofenamide	approved
CA1	Diclofenamide	approved
CA4	Diclofenamide	approved
HRH1	Diphenylpyraline	approved
CHRM2	Flavoxate	approved
CHRM1	Flavoxate	approved
SLC6A2	Nefazodone	approvedwithdrawn
SLC6A4	Nefazodone	approvedwithdrawn
HTR1A	Nefazodone	approvedwithdrawn
HTR2C	Nefazodone	approvedwithdrawn
HTR2A	Nefazodone	approvedwithdrawn
HTR2A	Desipramine	approved
SLC6A2	Desipramine	approved
SLC6A4	Desipramine	approved
GABRA1	Thiamylal	approvedvet_approved
KCNJ11	Thiamylal	approvedvet_approved
KCNJ8	Thiamylal	approvedvet_approved
SLC6A2	Bupropion	approved
SLC6A3	Bupropion	approved
DHFR	Trimetrexate	approvedinvestigational
ATP1A1	Bretylium	approved
GABRB1	Halothane	approvedvet_approved
GABRG1	Halothane	approvedvet_approved
GABRA2	Halothane	approvedvet_approved
GABRE	Halothane	approvedvet_approved
GABRB2	Halothane	approvedvet_approved
GABRA6	Halothane	approvedvet_approved
KCNK9	Halothane	approvedvet_approved
GABRQ	Halothane	approvedvet_approved
GABRD	Halothane	approvedvet_approved
GABRP	Halothane	approvedvet_approved
GABRA3	Halothane	approvedvet_approved
GABRB3	Halothane	approvedvet_approved
GABRG2	Halothane	approvedvet_approved
GABRA1	Halothane	approvedvet_approved
KCNK3	Halothane	approvedvet_approved
GABRG3	Halothane	approvedvet_approved
GABRA4	Halothane	approvedvet_approved
GABRA5	Halothane	approvedvet_approved
PTGFR	Dinoprost Tromethamine	approvedvet_approved
SCN10A	Chloroprocaine	approved
ADRA1D	Terazosin	approved
ADRA1B	Terazosin	approved
ADRA1A	Terazosin	approved
PDE3A	Cilostazol	approved
CYP51A1	Itraconazole	approvedinvestigational
MAOB	Procarbazine	approved
MAOA	Procarbazine	approved
MAPK1	Arsenic trioxide	approvedinvestigational
IKBKB	Arsenic trioxide	approvedinvestigational
CCND1	Arsenic trioxide	approvedinvestigational
TXNRD1	Arsenic trioxide	approvedinvestigational
JUN	Arsenic trioxide	approvedinvestigational
MAPK3	Arsenic trioxide	approvedinvestigational
SLC6A2	Guanethidine	approved
MAOA	Moclobemide	approved
GRIN3A	Orphenadrine	approved
GRIN1	Orphenadrine	approved
SLC6A2	Orphenadrine	approved
GRIN3B	Orphenadrine	approved
GRIN2D	Orphenadrine	approved
HRH1	Orphenadrine	approved
GABRA1	Phenobarbital	approved
SLC6A4	Escitalopram	approvedinvestigational
HRH1	Cyclizine	approved
TOP2A	Idarubicin	approved
TSPO	Chlormezanone	approvedwithdrawn
TOP2A	Podofilox	approved
TUBA4A	Podofilox	approved
TUBB	Podofilox	approved
ACE	Rescinnamine	approved
SCN5A	Propafenone	approved
KCNH2	Propafenone	approved
OPRD1	Naloxone	approvedvet_approved
OPRM1	Naloxone	approvedvet_approved
OPRK1	Naloxone	approvedvet_approved
DRD3	Domperidone	approvedinvestigationalvet_approved
DRD2	Domperidone	approvedinvestigationalvet_approved
ESR1	Fluoxymesterone	approvedillicit
PRLR	Fluoxymesterone	approvedillicit
AR	Fluoxymesterone	approvedillicit
DRD3	Pergolide	approvedvet_approvedwithdrawn
DRD2	Pergolide	approvedvet_approvedwithdrawn
ATP1A1	Ciclopirox	approvedinvestigational
GABRA3	Desflurane	approved
GABRA4	Desflurane	approved
GABRG3	Desflurane	approved
GABRP	Desflurane	approved
GLRA1	Desflurane	approved
GABRA1	Desflurane	approved
GABRA2	Desflurane	approved
GABRQ	Desflurane	approved
GABRB3	Desflurane	approved
KCNA1	Desflurane	approved
GABRG2	Desflurane	approved
ATP2C1	Desflurane	approved
GABRE	Desflurane	approved
GABRB2	Desflurane	approved
GABRG1	Desflurane	approved
GRIA1	Desflurane	approved
GABRD	Desflurane	approved
GABRA5	Desflurane	approved
GABRB1	Desflurane	approved
GABRA6	Desflurane	approved
SLC6A4	Dexfenfluramine	approvedillicitwithdrawn
OPRM1	Oxymorphone	approvedinvestigationalvet_approved
ADRB1	Acebutolol	approved
CA2	Brinzolamide	approved
SCN4A	Flecainide	approvedwithdrawn
SCN5A	Flecainide	approvedwithdrawn
ESR1	Estramustine	approved
MAP2	Estramustine	approved
ESR2	Estramustine	approved
MAP1A	Estramustine	approved
ACE	Captopril	approved
GABRA1	Zopiclone	approved
GABRA5	Zopiclone	approved
GABRA3	Zopiclone	approved
GABRA2	Zopiclone	approved
HTR3A	Tubocurarine	approved
CHRNA2	Tubocurarine	approved
DRD2	Bromocriptine	approvedinvestigational
DRD3	Bromocriptine	approvedinvestigational
SV2A	Levetiracetam	approvedinvestigational
CACNA1B	Levetiracetam	approvedinvestigational
ADRB1	Nadolol	approved
TOP2A	Mitoxantrone	approvedinvestigational
GABRA2	Flumazenil	approved
GABRG3	Flumazenil	approved
GABRA4	Flumazenil	approved
GABRB1	Flumazenil	approved
GABRB3	Flumazenil	approved
GABRA3	Flumazenil	approved
GABRD	Flumazenil	approved
GABRA1	Flumazenil	approved
GABRE	Flumazenil	approved
GABRA1	Flumazenil	approved
GABRG2	Flumazenil	approved
GABRP	Flumazenil	approved
GABRB2	Flumazenil	approved
GABRQ	Flumazenil	approved
GABRA6	Flumazenil	approved
GABRA5	Flumazenil	approved
GABRA5	Flumazenil	approved
GABRG1	Flumazenil	approved
GABRG2	Flumazenil	approved
TBXA2R	Ridogrel	approved
TBXAS1	Ridogrel	approved
TOP2A	Sparfloxacin	approved
OPRK1	Dezocine	approved
OPRM1	Dezocine	approved
ADRB2	Levobunolol	approved
ADRB1	Levobunolol	approved
ADH1B	Fomepizole	approvedvet_approved
ADH1A	Fomepizole	approvedvet_approved
ADH1C	Fomepizole	approvedvet_approved
CAT	Fomepizole	approvedvet_approved
ADRB1	Metipranolol	approved
ADRB2	Metipranolol	approved
GABRA1	Estazolam	approvedillicit
GABRR3	Estazolam	approvedillicit
GABRB3	Estazolam	approvedillicit
GABRD	Estazolam	approvedillicit
GABRA3	Estazolam	approvedillicit
GABRP	Estazolam	approvedillicit
GABRE	Estazolam	approvedillicit
GABRA4	Estazolam	approvedillicit
GABRA2	Estazolam	approvedillicit
GABRB2	Estazolam	approvedillicit
GABRA2	Estazolam	approvedillicit
GABRR2	Estazolam	approvedillicit
GABRB1	Estazolam	approvedillicit
GABRG1	Estazolam	approvedillicit
GABRG1	Estazolam	approvedillicit
GABRG2	Estazolam	approvedillicit
GABRQ	Estazolam	approvedillicit
GABRE	Estazolam	approvedillicit
GABRD	Estazolam	approvedillicit
GABRA1	Estazolam	approvedillicit
GABRG3	Estazolam	approvedillicit
GABRA6	Estazolam	approvedillicit
GABRP	Estazolam	approvedillicit
GABRB1	Estazolam	approvedillicit
GABRB3	Estazolam	approvedillicit
GABRR1	Estazolam	approvedillicit
GABRB2	Estazolam	approvedillicit
GABRA5	Estazolam	approvedillicit
GABRG2	Estazolam	approvedillicit
GABRG3	Estazolam	approvedillicit
GABRA3	Estazolam	approvedillicit
GABRA5	Estazolam	approvedillicit
SRD5A2	Finasteride	approved
CYP19A1	Anastrozole	approvedinvestigational
KCNH2	Halofantrine	approved
RYR1	Dantrolene	approved
GRIN3A	Ketamine	approvedvet_approved
NR3C1	Budesonide	approved
HDAC2	Aminophylline	approved
ADORA1	Aminophylline	approved
PDE3A	Aminophylline	approved
ADORA3	Aminophylline	approved
HTR2A	Quetiapine	approved
DRD2	Quetiapine	approved
SERPINC1	Enoxaparin	approved
F10	Enoxaparin	approved
CHRNA2	Mivacurium	approved
OPRM1	Levomethadyl Acetate	approved
SCN5A	Encainide	approvedwithdrawn
MAP2	Paclitaxel	approvedvet_approved
MAPT	Paclitaxel	approvedvet_approved
TUBB1	Paclitaxel	approvedvet_approved
BCL2	Paclitaxel	approvedvet_approved
MAP4	Paclitaxel	approvedvet_approved
CHRM2	Diphenidol	approvedwithdrawn
CHRM3	Diphenidol	approvedwithdrawn
CHRM1	Diphenidol	approvedwithdrawn
DRD2	Metoclopramide	approvedinvestigational
CHRM1	Metoclopramide	approvedinvestigational
NR3C1	Dexamethasone	approvedinvestigationalvet_approved
DRD5	Levodopa	approved
DRD2	Levodopa	approved
DRD1	Levodopa	approved
DRD3	Levodopa	approved
DRD4	Levodopa	approved
GABRB3	Sevoflurane	approvedvet_approved
GABRA2	Sevoflurane	approvedvet_approved
GABRA1	Sevoflurane	approvedvet_approved
GABRQ	Sevoflurane	approvedvet_approved
GABRD	Sevoflurane	approvedvet_approved
GABRB2	Sevoflurane	approvedvet_approved
GABRP	Sevoflurane	approvedvet_approved
GABRA5	Sevoflurane	approvedvet_approved
GLRA1	Sevoflurane	approvedvet_approved
GABRA6	Sevoflurane	approvedvet_approved
GABRE	Sevoflurane	approvedvet_approved
ATP2C1	Sevoflurane	approvedvet_approved
GABRG3	Sevoflurane	approvedvet_approved
GABRB1	Sevoflurane	approvedvet_approved
GABRA4	Sevoflurane	approvedvet_approved
GABRA1	Sevoflurane	approvedvet_approved
GABRA3	Sevoflurane	approvedvet_approved
GABRG2	Sevoflurane	approvedvet_approved
GRIA1	Sevoflurane	approvedvet_approved
GABRG1	Sevoflurane	approvedvet_approved
KCNA1	Sevoflurane	approvedvet_approved
HRH1	Bromodiphenhydramine	approved
DRD2	Aripiprazole	approvedinvestigational
HTR2A	Aripiprazole	approvedinvestigational
DRD1	Chlorprothixene	approvedwithdrawn
DRD3	Chlorprothixene	approvedwithdrawn
DRD2	Chlorprothixene	approvedwithdrawn
HTR2C	Chlorprothixene	approvedwithdrawn
HTR2B	Chlorprothixene	approvedwithdrawn
HTR2A	Chlorprothixene	approvedwithdrawn
PTGIS	Epoprostenol	approved
P2RY12	Epoprostenol	approved
PTGIR	Epoprostenol	approved
PPARA	Gemfibrozil	approved
HTR2B	Clomipramine	approvedvet_approved
HTR2C	Clomipramine	approvedvet_approved
HTR2A	Clomipramine	approvedvet_approved
SLC6A4	Clomipramine	approvedvet_approved
CACNA2D2	Bepridil	approvedwithdrawn
CACNA1H	Bepridil	approvedwithdrawn
CACNA1A	Bepridil	approvedwithdrawn
CHRNA2	Decamethonium	approved
HRH1	Alimemazine	approvedvet_approved
MAOA	Isocarboxazid	approved
MAOB	Isocarboxazid	approved
MAP2	Docetaxel	approvedinvestigational
MAP4	Docetaxel	approvedinvestigational
MAPT	Docetaxel	approvedinvestigational
TUBB1	Docetaxel	approvedinvestigational
TPMT	Olsalazine	approved
IFNG	Olsalazine	approved
KCNJ8	Gliquidone	approved
ABCC8	Gliquidone	approved
ABCC8	Mitiglinide	approvedinvestigational
ADRA1A	Ergonovine	approved
LCK	Dasatinib	approvedinvestigational
YES1	Dasatinib	approvedinvestigational
ABL1	Dasatinib	approvedinvestigational
EPHA2	Dasatinib	approvedinvestigational
SRC	Dasatinib	approvedinvestigational
SLC6A3	Lisdexamfetamine	approvedinvestigational
C5	Eculizumab	approvedinvestigational
ERBB2	Lapatinib	approvedinvestigational
EGFR	Lapatinib	approvedinvestigational
NR3C1	Desonide	approvedinvestigational
DPP4	Sitagliptin	approvedinvestigational
DNMT1	Decitabine	approvedinvestigational
HTR2C	Paliperidone	approved
DRD3	Paliperidone	approved
HTR2A	Paliperidone	approved
DRD4	Paliperidone	approved
DRD2	Paliperidone	approved
FLT1	Sunitinib	approvedinvestigational
KIT	Sunitinib	approvedinvestigational
KDR	Sunitinib	approvedinvestigational
CSF1R	Sunitinib	approvedinvestigational
FLT3	Sunitinib	approvedinvestigational
PDGFRA	Sunitinib	approvedinvestigational
FLT4	Sunitinib	approvedinvestigational
PDGFRB	Sunitinib	approvedinvestigational
EGFR	Panitumumab	approvedinvestigational
VEGFA	Ranibizumab	approved
M6PR	Alglucosidase alfa	approved
CHRNA4	Varenicline	approvedinvestigational
ADRB2	Arformoterol	approvedinvestigational
AOC3	Hydralazine	approved
GLP1R	Exenatide	approvedinvestigational
IGF1R	Mecasermin	approvedinvestigational
RAMP1	Pramlintide	approvedinvestigational
CALCR	Pramlintide	approvedinvestigational
RAMP3	Pramlintide	approvedinvestigational
RAMP2	Pramlintide	approvedinvestigational
PLIN3	Galsulfase	approvedinvestigational
CD86	Abatacept	approved
CD80	Abatacept	approved
OXTR	Carbetocin	approved
PTGS2	Lumiracoxib	approvedinvestigational
PTGS1	Lumiracoxib	approvedinvestigational
MC2R	Tetracosactide	approved
MC2R	Corticotropin	approvedvet_approved
ADRB2	Fenoterol	approved
KCNJ8	Glisoxepide	approved
ADRB2	Pirbuterol	approved
ADRB1	Bevantolol	approved
MMP9	Glucosamine	approved
ADRB1	Practolol	approved
PDE4A	Oxtriphylline	approved
PDE3A	Oxtriphylline	approved
ADORA2A	Oxtriphylline	approved
HDAC2	Oxtriphylline	approved
ADORA1	Oxtriphylline	approved
INSR	Insulin Aspart	approved
INSR	Insulin Detemir	approved
INSR	Insulin Glulisine	approved
SCN5A	Fosphenytoin	approved
SLC12A3	Polythiazide	approved
SLC12A3	Quinethazone	approved
SLC12A2	Quinethazone	approved
CA1	Quinethazone	approved
CA2	Quinethazone	approved
SLC12A1	Quinethazone	approved
CHRNA2	Metocurine	approved
CHRNA2	Pancuronium	approved
CHRNA2	Pipecuronium	approved
CHRNA2	Vecuronium	approved
ACE	Cilazapril	approved
GABRA1	Dihydroquinidine barbiturate	experimental
AGTR1	Forasartan	experimental
GABRA1	Quinidine barbiturate	approved
GABRA2	Quinidine barbiturate	approved
SCN5A	Quinidine barbiturate	approved
AGTR1	Saprisartan	experimental
ACE	Spirapril	approved
AGTR1	Tasosartan	approved
GABRA6	Amobarbital	approvedillicit
GABRA4	Amobarbital	approvedillicit
GABRA1	Amobarbital	approvedillicit
GABRA2	Amobarbital	approvedillicit
GABRA3	Amobarbital	approvedillicit
GABRA5	Amobarbital	approvedillicit
GABRA5	Aprobarbital	approvedillicit
GABRA3	Aprobarbital	approvedillicit
GABRA4	Aprobarbital	approvedillicit
GABRA2	Aprobarbital	approvedillicit
GABRA6	Aprobarbital	approvedillicit
GABRA1	Aprobarbital	approvedillicit
GABRA2	Butethal	approvedillicit
GABRA3	Butethal	approvedillicit
GABRA5	Butethal	approvedillicit
GABRA1	Butethal	approvedillicit
GABRA6	Butethal	approvedillicit
GABRA4	Butethal	approvedillicit
GABRA5	Heptabarbital	approved
GABRA3	Heptabarbital	approved
GABRA1	Heptabarbital	approved
GABRA4	Heptabarbital	approved
GABRA2	Heptabarbital	approved
GABRA6	Heptabarbital	approved
GABRA3	Hexobarbital	approved
GABRA5	Hexobarbital	approved
GABRA4	Hexobarbital	approved
GABRA2	Hexobarbital	approved
GABRA1	Hexobarbital	approved
GABRA6	Hexobarbital	approved
ESR1	Mestranol	approved
ADRB1	Penbutolol	approvedinvestigational
HTR1A	Penbutolol	approvedinvestigational
ADRB2	Penbutolol	approvedinvestigational
SLC6A4	Ephedra	approvednutraceuticalwithdrawn
SLC6A3	Ephedra	approvednutraceuticalwithdrawn
ADRB1	Ephedra	approvednutraceuticalwithdrawn
ADRA2C	Ephedra	approvednutraceuticalwithdrawn
SLC18A1	Ephedra	approvednutraceuticalwithdrawn
ADRA2A	Ephedra	approvednutraceuticalwithdrawn
SLC6A2	Ephedra	approvednutraceuticalwithdrawn
MAOA	Ephedra	approvednutraceuticalwithdrawn
ADRB3	Ephedra	approvednutraceuticalwithdrawn
MAOB	Ephedra	approvednutraceuticalwithdrawn
ADRA2B	Ephedra	approvednutraceuticalwithdrawn
SLC18A2	Ephedra	approvednutraceuticalwithdrawn
ADRB2	Ephedra	approvednutraceuticalwithdrawn
ADRA1A	Mephentermine	approved
ADRA1B	Mephentermine	approved
ADRA2B	Mephentermine	approved
ADRA2C	Mephentermine	approved
ADRA2A	Mephentermine	approved
ADRA1D	Mephentermine	approved
ADRB2	Procaterol	approved
BCL2	Rasagiline	approved
MAOB	Rasagiline	approved
NR3C1	Cortisone acetate	approved
KCNJ1	Glycodiazine	approved
NR3C1	Paramethasone	approved
CACNA1I	Mibefradil	withdrawn
CACNB2	Mibefradil	withdrawn
CACNA1F	Mibefradil	withdrawn
CACNA1D	Mibefradil	withdrawn
CACNA1H	Mibefradil	withdrawn
CACNA1C	Mibefradil	withdrawn
CACNB1	Mibefradil	withdrawn
CACNB3	Mibefradil	withdrawn
CACNB4	Mibefradil	withdrawn
CACNA1S	Mibefradil	withdrawn
CACNA1G	Mibefradil	withdrawn
ADRA2C	Yohimbine	approvedvet_approved
ADRA2B	Yohimbine	approvedvet_approved
ADRA2A	Yohimbine	approvedvet_approved
PPARA	Bezafibrate	approved
PPARG	Bezafibrate	approved
PPARD	Bezafibrate	approved
TUBB	Colchicine	approved
TUBB1	Colchicine	approved
PGR	Drospirenone	approved
NR3C2	Drospirenone	approved
AR	Drospirenone	approved
ATP1A1	Digitoxin	approved
PTGS1	Magnesium salicylate	approved
PTGS2	Magnesium salicylate	approved
PTGS1	Salsalate	approved
PTGS2	Salsalate	approved
ACHE	Neostigmine	approvedvet_approved
DRD2	Methotrimeprazine	approved
ESR1	Danazol	approved
GNRHR2	Danazol	approved
GNRHR	Danazol	approved
AR	Danazol	approved
PGR	Danazol	approved
ADRB2	Clenbuterol	approvedvet_approved
ADRB2	Bambuterol	approved
CHRM3	Tiotropium	approved
NR3C1	Ciclesonide	approvedinvestigational
CYSLTR1	Pranlukast	approved
ADORA2A	Theobromine	approved
ADORA1	Theobromine	approved
VKORC1	Acenocoumarol	approved
AR	Testosterone Propionate	approvedvet_approved
METAP2	Nitroxoline	approved
DRD2	Alizapride	approved
SCN5A	Ajmaline	approved
PDE3A	Amrinone	approved
SCN5A	Aprindine	approved
ATP1A1	Almitrine	approved
PGR	Allylestrenol	approved
OPRM1	Methadyl Acetate	approvedillicit
VDR	Alfacalcidol	approvednutraceutical
GABRA3	Glutethimide	approvedillicit
GABRG2	Glutethimide	approvedillicit
GABRA2	Glutethimide	approvedillicit
GABRD	Glutethimide	approvedillicit
GABRB2	Glutethimide	approvedillicit
GABRG1	Glutethimide	approvedillicit
GABRE	Glutethimide	approvedillicit
GABRA6	Glutethimide	approvedillicit
GABRB1	Glutethimide	approvedillicit
GABRA4	Glutethimide	approvedillicit
GABRB3	Glutethimide	approvedillicit
GABRA1	Glutethimide	approvedillicit
GABRA5	Glutethimide	approvedillicit
GABRQ	Glutethimide	approvedillicit
GABRP	Glutethimide	approvedillicit
GABRG3	Glutethimide	approvedillicit
GABRA1	Glutethimide	approvedillicit
SCN1A	Phenazopyridine	approved
OPRK1	3-Methylthiofentanyl	experimentalillicit
OPRM1	3-Methylthiofentanyl	experimentalillicit
OPRD1	3-Methylthiofentanyl	experimentalillicit
GABRB1	Gamma Hydroxybutyric Acid	approvedillicit
SLC52A2	Gamma Hydroxybutyric Acid	approvedillicit
SLC6A4	MMDA	experimentalillicit
MAOB	MMDA	experimentalillicit
MAOA	MMDA	experimentalillicit
HTR2A	MMDA	experimentalillicit
SLC18A2	MMDA	experimentalillicit
SLC18A1	MMDA	experimentalillicit
SLC6A3	MMDA	experimentalillicit
SLC6A2	MMDA	experimentalillicit
OPRM1	Dimethylthiambutene	experimentalillicit
OPRM1	Heroin	approvedillicit
SLC6A4	3,4-Methylenedioxymethamphetamine	experimentalillicit
SLC18A2	3,4-Methylenedioxymethamphetamine	experimentalillicit
SLC6A2	3,4-Methylenedioxymethamphetamine	experimentalillicit
SLC6A3	Fencamfamine	approvedillicitwithdrawn
OPRM1	Ethylmorphine	approvedillicit
ADRA2A	4-Methoxyamphetamine	experimentalillicit
SLC6A3	4-Methoxyamphetamine	experimentalillicit
SLC6A4	4-Methoxyamphetamine	experimentalillicit
ADRA1A	4-Methoxyamphetamine	experimentalillicit
SLC18A2	4-Methoxyamphetamine	experimentalillicit
AR	Delta1-dihydrotestosterone	experimentalillicit
GABRA1	Barbital	illicit
GABRA5	Barbital	illicit
GABRA2	Barbital	illicit
GABRA3	Barbital	illicit
GABRA6	Barbital	illicit
GABRA4	Barbital	illicit
HTR6	Dimethyltryptamine	experimentalillicit
GABRA2	Barbituric acid derivative	experimentalillicit
GABRA3	Barbituric acid derivative	experimentalillicit
GABRA1	Barbituric acid derivative	experimentalillicit
GABRA6	Barbituric acid derivative	experimentalillicit
GABRA5	Barbituric acid derivative	experimentalillicit
GABRA4	Barbituric acid derivative	experimentalillicit
OPRK1	Etorphine	illicitvet_approved
OPRD1	Etorphine	illicitvet_approved
OPRM1	Etorphine	illicitvet_approved
GRIN3A	Tenocyclidine	experimentalillicit
GRIN2C	Tenocyclidine	experimentalillicit
GRIN2B	Tenocyclidine	experimentalillicit
GRIN3B	Tenocyclidine	experimentalillicit
GRIN2A	Tenocyclidine	experimentalillicit
OPRD1	Carfentanil	illicitvet_approved
OPRM1	Carfentanil	illicitvet_approved
HSD3B1	4-Androstenedione	experimentalillicit
HSD17B1	4-Androstenedione	experimentalillicit
AR	Boldenone	illicitvet_approved
GABRA4	Flunitrazepam	approvedillicit
TSPO	Flunitrazepam	approvedillicit
GABRA2	Flunitrazepam	approvedillicit
GABRA5	Flunitrazepam	approvedillicit
GABRA3	Flunitrazepam	approvedillicit
GABRA6	Flunitrazepam	approvedillicit
OPRD1	Diprenorphine	illicitvet_approved
OPRM1	Diprenorphine	illicitvet_approved
GRIN3A	Rolicyclidine	experimentalillicit
GABRQ	Bromazepam	approvedillicit
GABRP	Bromazepam	approvedillicit
GABRB3	Bromazepam	approvedillicit
GABRR3	Bromazepam	approvedillicit
GABRA6	Bromazepam	approvedillicit
GABRA1	Bromazepam	approvedillicit
GABRR1	Bromazepam	approvedillicit
GABRB2	Bromazepam	approvedillicit
GABRD	Bromazepam	approvedillicit
GABRA4	Bromazepam	approvedillicit
GABRG2	Bromazepam	approvedillicit
GABRA5	Bromazepam	approvedillicit
GABRB1	Bromazepam	approvedillicit
GABRA3	Bromazepam	approvedillicit
GABRG1	Bromazepam	approvedillicit
GABRR2	Bromazepam	approvedillicit
GABRG3	Bromazepam	approvedillicit
GABRE	Bromazepam	approvedillicit
GABRA2	Bromazepam	approvedillicit
GABRD	Clotiazepam	approvedillicit
GABRA5	Clotiazepam	approvedillicit
GABRR1	Clotiazepam	approvedillicit
GABRB1	Clotiazepam	approvedillicit
GABRA1	Clotiazepam	approvedillicit
GABRP	Clotiazepam	approvedillicit
GABRE	Clotiazepam	approvedillicit
GABRB3	Clotiazepam	approvedillicit
GABRA2	Clotiazepam	approvedillicit
GABRG2	Clotiazepam	approvedillicit
GABRA3	Clotiazepam	approvedillicit
GABRG3	Clotiazepam	approvedillicit
GABRG1	Clotiazepam	approvedillicit
GABRR3	Clotiazepam	approvedillicit
GABRB2	Clotiazepam	approvedillicit
GABRR2	Clotiazepam	approvedillicit
AR	Calusterone	experimentalillicit
OPRM1	Dihydromorphine	experimentalillicit
GABRB3	Fludiazepam	approvedillicit
GABRR2	Fludiazepam	approvedillicit
GABRA5	Fludiazepam	approvedillicit
GABRB2	Fludiazepam	approvedillicit
GABRG2	Fludiazepam	approvedillicit
GABRP	Fludiazepam	approvedillicit
GABRB1	Fludiazepam	approvedillicit
GABRE	Fludiazepam	approvedillicit
GABRA3	Fludiazepam	approvedillicit
GABRG1	Fludiazepam	approvedillicit
GABRR1	Fludiazepam	approvedillicit
GABRA2	Fludiazepam	approvedillicit
GABRA1	Fludiazepam	approvedillicit
GABRD	Fludiazepam	approvedillicit
GABRG3	Fludiazepam	approvedillicit
GABRR3	Fludiazepam	approvedillicit
OPRD1	3-Methylfentanyl	illicit
OPRM1	3-Methylfentanyl	illicit
OPRK1	3-Methylfentanyl	illicit
SLC6A2	Dextroamphetamine	approvedillicit
SLC18A2	Dextroamphetamine	approvedillicit
SLC6A3	Dextroamphetamine	approvedillicit
SLC6A4	Methamphetamine	approvedillicit
ADRA2A	Methamphetamine	approvedillicit
ADRA2B	Methamphetamine	approvedillicit
SLC6A2	Methamphetamine	approvedillicit
ADRA2C	Methamphetamine	approvedillicit
TAAR1	Methamphetamine	approvedillicit
SLC18A2	Methamphetamine	approvedillicit
SLC18A1	Methamphetamine	approvedillicit
SLC6A3	Methamphetamine	approvedillicit
MAOB	Methamphetamine	approvedillicit
MAOA	Methamphetamine	approvedillicit
SLC6A2	Phendimetrazine	approvedillicit
ADRA1A	Phendimetrazine	approvedillicit
ADRB1	Oxprenolol	approved
THRA	Liotrix	approved
THRB	Liotrix	approved
AKR1C2	Ursodeoxycholic acid	approvedinvestigational
GABRD	Ketazolam	approved
TSPO	Ketazolam	approved
GABRA1	Ketazolam	approved
GABRE	Ketazolam	approved
GABRB1	Ketazolam	approved
GABRG1	Ketazolam	approved
GABRB2	Prazepam	approvedillicit
GABRR2	Prazepam	approvedillicit
GABRB3	Prazepam	approvedillicit
GABRP	Prazepam	approvedillicit
GABRE	Prazepam	approvedillicit
GABRG2	Prazepam	approvedillicit
GABRA6	Prazepam	approvedillicit
GABRP	Prazepam	approvedillicit
GABRA5	Prazepam	approvedillicit
GABRA3	Prazepam	approvedillicit
GABRG1	Prazepam	approvedillicit
GABRA2	Prazepam	approvedillicit
GABRG2	Prazepam	approvedillicit
GABRQ	Prazepam	approvedillicit
GABRB1	Prazepam	approvedillicit
GABRD	Prazepam	approvedillicit
GABRB3	Prazepam	approvedillicit
