gene	rseq
ZNF213	NM_004220
KRT33A	NM_004138
IDH3G	NM_004135
CTSF	NM_003793
GATAD2A	NM_017660
WAS	NM_000377
UROS	NM_000375
TMCO6	NM_018502
PHOSPHO2-KLHL23	NM_001199290
LOC100507003	NM_001195256
STAB2	NM_017564
PCNP	NM_020357
SLC13A5	NM_177550
RBM28	NM_018077
ARMC4	NM_018076
ARL11	NM_138450
GPR124	NM_032777
TP53RK	NM_033550
MFN1	NM_033540
ZNF684	NM_152373
LSM11	NM_173491
TEX29	NM_152324
SRL	NM_001098814
KIAA1244	NM_020340
SEMA4C	NM_017789
SPDL1	NM_017785
LOC100129216	NM_001242853
RCBTB1	NM_018191
BPI	NM_001725
CAPNS1	NM_001749
KRT15	NM_002275
KRT13	NM_153490
IPO5	NM_002271
SNX2	NM_003100
APOD	NM_001647
DDB1	NM_001923
GTF2H2	NM_001515
DEFA6	NM_001926
SNTA1	NM_003098
CXCL6	NM_002993
FOLH1B	NM_153696
FAM19A2	NM_178539
ZNF367	NM_153695
TRMT10B	NM_144964
FAM91A1	NM_144963
ZUFSP	NM_145062
ELMOD2	NM_153702
EFHB	NM_144715
APOC2	NM_000483
MVK	NM_000431
MAMLD1	NM_001177465
SPANXN5	NM_001009616
KLF16	NM_031918
ANGPTL6	NM_031917
FHAD1	NM_052929
ACADL	NM_001608
CDC42SE2	NM_020240
DEFB124	NM_001037500
RHO	NM_000539
TNKS	NM_003747
PDC	NM_002597
BMP3	NM_001201
FBL	NM_001436
LDHC	NM_002301
ABCB1	NM_000927
RPGR	NM_001034853
RLBP1	NM_000326
FLOT2	NM_004475
TPTE2	NM_199254
ACTA2	NM_001613
HDAC7	NM_015401
CALML6	NM_138705
MAGEC3	NM_138702
MPLKIP	NM_138701
CTAGE1	NM_172241
EGR3	NM_004430
RELT	NM_032871
OXSR1	NM_005109
CALR	NM_004343
TGFB1	NM_000660
SELP	NM_003005
C10orf129	NM_207321
ESX1	NM_153448
NT5DC3	NM_001031701
JAKMIP3	NM_001105521
RAB4A	NM_004578
ALKBH1	NM_006020
MAGEA8	NM_005364
GABRE	NM_004961
MFHAS1	NM_004225
GPR50	NM_004224
RAB11B	NM_004218
BUB3	NM_004725
CNTNAP1	NM_003632
TRIP12	NM_004238
PKDREJ	NM_006071
IKBKAP	NM_003640
HYPK	NM_016400
FCER2	NM_002002
FCER1A	NM_002001
PSMB2	NM_002794
CSN1S1	NM_001890
LAPTM5	NM_006762
IDUA	NM_000203
KIAA0556	NM_015202
GDI1	NM_001493
CD9	NM_001769
MAFG	NM_002359
CXCL1	NM_001511
RECQL5	NM_004259
HNF4G	NM_004133
FAM69C	NM_001044369
KRT83	NM_002282
TMEM79	NM_032323
TMEM42	NM_144638
LYZL4	NM_144634
CANT1	NM_138793
CCDC104	NM_080667
ZC3HAV1L	NM_080660
C11orf52	NM_080659
ACY3	NM_080658
PROSER2	NM_153256
TMEM252	NM_153237
USH1G	NM_173477
PGBD4	NM_152595
DCUN1D3	NM_173475
TMEM125	NM_144626
ATPBD4	NM_080650
CCER1	NM_152638
PAQR4	NM_152341
SPATA2L	NM_152339
ENTHD2	NM_144679
MIXL1	NM_031944
BRIP1	NM_032043
IL27RA	NM_004843
DVL3	NM_004423
EIF4E2	NM_004846
GJB3	NM_024009
THAP9	NM_024672
ZNF669	NM_024804
ZNF385C	NM_001242704
ENO4	NM_001242699
CYP4Z1	NM_178134
NME9	NM_178130
ANGPTL5	NM_178127
TRIM50	NM_178125
SESTD1	NM_178123
TTC34	NM_001242672
MRPS26	NM_030811
POLR1C	NM_203290
VOPP1	NM_030796
USP28	NM_020886
LENG8	NM_052925
GREM2	NM_022469
MMP25	NM_022468
IKZF4	NM_022465
SIL1	NM_022464
BOK	NM_032515
ZC3H12C	NM_033390
ATG16L2	NM_033388
KAT8	NM_182958
LRRIQ1	NM_001079910
FAM217A	NM_173563
UNC5CL	NM_173561
RFX6	NM_173560
SNX29	NM_032167
TMEM143	NM_018273
KCNK15	NM_022358
SUSD2	NM_019601
TSPY2	NM_022573
MAP10	NM_019090
ASUN	NM_018164
MRPL1	NM_020236
IFNL4	NM_001276254
ADPRM	NM_020233
SNX14	NM_153816
LYRM2	NM_020466
HTRA4	NM_153692
CCDC39	NM_181426
ZNF530	NM_020880
LPPR3	NM_024888
CRYGC	NM_020989
SUV420H2	NM_032701
MPV17L2	NM_032683
FOXP1	NM_001244810
MUC6	NM_005961
DYNC1LI2	NM_006141
GUCY1A2	NM_001256424
LRP4	NM_002334
TDGF1	NM_003212
DMC1	NM_007068
PLK3	NM_004073
MYL9	NM_006097
SEMA3F	NM_004186
YWHAQ	NM_006826
CKAP4	NM_006825
ACOT2	NM_006821
STIP1	NM_006819
ZNF586	NM_017652
C12orf39	NM_030572
DNAJC16	NM_015291
CNPPD1	NM_015680
NBEA	NM_015678
TMA7	NM_015933
EMCN	NM_016242
GPRC5B	NM_016235
PANK4	NM_018216
LRRC1	NM_018214
EFCAB14	NM_014774
KIAA0141	NM_014773
EXD2	NM_001193360
C19orf38	NM_001136482
ZNF844	NM_001136501
BTNL9	NM_152547
MTSS1L	NM_138383
C10orf67	NM_153714
TTL	NM_153712
PYDC1	NM_152901
EHD4	NM_139265
MS4A6E	NM_139249
LIPH	NM_139248
TSTD2	NM_139246
PPM1L	NM_139245
CHST13	NM_152889
FAM110B	NM_147189
FOXO1	NM_002015
THOP1	NM_003249
C10orf90	NM_001004298
MAP3K5	NM_005923
PLXND1	NM_015103
TTLL13	NM_001029964
TFIP11	NM_012143
CCNDBP1	NM_012142
SLITRK3	NM_014926
FAM50B	NM_012135
LMOD1	NM_012134
PON3	NM_000940
AP1S1	NM_001283
PHC1	NM_004426
ZNF705G	NM_001164457
SOCS4	NM_080867
TTLL1	NM_012263
MYL3	NM_000258
MYH7	NM_000257
HAPLN1	NM_001884
CRHBP	NM_001882
SH3PXD2B	NM_001017995
FAM72B	NM_001100910
HTR6	NM_000871
TRPC1	NM_001251845
ARPP19	NM_006628
ZNF259	NM_003904
OR11A1	NM_013937
OR12D2	NM_013936
ASF1A	NM_014034
UPK2	NM_006760
GRN	NM_002087
MSX1	NM_002448
STK32C	NM_173575
C11orf35	NM_173573
OR2V2	NM_206880
FARP2	NM_014808
CIC	NM_015125
PLCH2	NM_014638
KY	NM_178554
KCTD13	NM_178863
SOX11	NM_003108
SDC2	NM_002998
SRP9	NM_003133
SRM	NM_003132
PSPN	NM_004158
ZNF235	NM_004234
KLF4	NM_004235
LRPAP1	NM_002337
SLC25A17	NM_006358
ATP5H	NM_006356
TSR1	NM_018128
DDX56	NM_019082
CRIP2	NM_001270837
GNAZ	NM_002073
TEKT4	NM_144705
MRPL45	NM_032351
FLJ25363	NM_001145553
B3GALT4	NM_003782
NPTX1	NM_002522
FZD7	NM_003507
GTF3C1	NM_001520
SLC35B4	NM_032826
ENPEP	NM_001977
SH3BGRL	NM_003022
SGTA	NM_003021
DSG1	NM_001942
MSX2	NM_002449
INPPL1	NM_001567
IRAK2	NM_001570
EIF3E	NM_001568
APLP1	NM_001024807
ZNF358	NM_018083
LRRC6	NM_012472
KIAA1009	NM_014895
WDR78	NM_024763
MOB3B	NM_024761
HIST1H1E	NM_005321
HIST1H1D	NM_005320
HIST1H1C	NM_005319
H1F0	NM_005318
GSC2	NM_005315
GRPR	NM_005314
ZBTB44	NM_014155
CEP19	NM_032898
SPTBN2	NM_006946
EMILIN1	NM_007046
CACNG1	NM_000727
BCAS1	NM_003657
EIF3J	NM_003758
HBQ1	NM_005331
SMARCA1	NM_003069
MAPK12	NM_002969
NAALADL2	NM_207015
LHFPL3	NM_199000
ASCL4	NM_203436
IER5L	NM_203434
KPRP	NM_001025231
MS4A10	NM_206893
PRSS57	NM_214710
VCX2	NM_016378
SPINT3	NM_006652
CPLX2	NM_006650
WNK2	NM_006648
ANAPC15	NM_014042
FAM129B	NM_022833
RAMP3	NM_005856
SMR3B	NM_006685
EDDM3A	NM_006683
NTF4	NM_006179
CHCHD2	NM_016139
DSCR4	NM_005867
AGPAT5	NM_018361
TXLNG	NM_018360
VWA9	NM_001207058
GLE1	NM_001003722
WDR59	NM_030581
CCDC102A	NM_033212
FKBP2	NM_004470
PIGH	NM_004569
MLL2	NM_003482
TLR9	NM_017442
GAGE10	NM_001098413
RPL36A	NM_021029
PYDC2	NM_001083308
HSPBP1	NM_012267
TMEM184B	NM_012264
ITGAX	NM_000887
OR2T2	NM_001004136
OR2A12	NM_001004135
OR10AD1	NM_001004134
SYNE4	NM_001039876
CPLX3	NM_001030005
CCDC85A	NM_001080433
FTO	NM_001080432
FNDC3A	NM_001079673
RTL1	NM_001134888
LOC391322	NM_001144931
PATE4	NM_001144874
ERCC6	NM_000124
GRIK5	NM_002088
GRIN2B	NM_000834
TNFRSF17	NM_001192
BCL2L1	NM_138578
UBR5	NM_015902
LENEP	NM_018655
C19orf47	NM_001256440
KCTD11	NM_001002914
TBX2	NM_005994
PRG3	NM_006093
APOA4	NM_000482
AMH	NM_000479
ALB	NM_000477
AK1	NM_000476
PTPN1	NM_002827
TMEFF1	NM_003692
TRIM26	NM_003449
YWHAH	NM_003405
MYO7B	NM_001080527
CR1L	NM_175710
PLD6	NM_178836
OR2T5	NM_001004697
OR2T4	NM_001004696
PPAN	NM_020230
ANKMY1	NM_016552
SMYD2	NM_020197
CPSF2	NM_017437
A4GALT	NM_017436
VCP	NM_007126
FAM189A1	NM_015307
KIAA0930	NM_015264
FETUB	NM_014375
GPR160	NM_014373
RNF11	NM_014372
OAT	NM_000274
DHX57	NM_198963
MZT1	NM_001071775
THOC2	NM_001081550
TMEM231	NM_001077416
ZNF628	NM_033113
HMGN5	NM_030763
BHLHE41	NM_030762
NUP160	NM_015231
NDUFA8	NM_014222
RUVBL2	NM_006666
KLHDC10	NM_014997
WBP2	NM_012478
WBP1	NM_012477
VAX2	NM_012476
TXN2	NM_012473
TRPC5	NM_012471
ATP6V0A2	NM_012463
INSRR	NM_014215
DSTN	NM_006870
CEACAM7	NM_006890
CD2AP	NM_012120
CCRN4L	NM_012118
PRB4	NM_002723
POLB	NM_002690
DCTD	NM_001012732
FMO1	NM_002021
LPL	NM_000237
PCNXL4	NM_022495
NARFL	NM_022493
TTC31	NM_022492
FHOD3	NM_025135
UBE2Q1	NM_017582
WDR5B	NM_019069
GPR85	NM_018970
SNTG2	NM_018968
KRTAP4-2	NM_033062
KRTAP4-7	NM_033061
PRAMEF17	NM_001099851
CHRD	NM_003741
DAP	NM_004394
CYP8B1	NM_004391
LTC4S	NM_145867
PHKA2	NM_000292
METTL2B	NM_018396
DPM3	NM_018973
RALGAPB	NM_020336
EIF5A2	NM_020390
FMO4	NM_002022
DCT	NM_001129889
ZNF483	NM_133464
AMZ1	NM_133463
SH3BGRL3	NM_031286
EFCAB1	NM_024593
SNX15	NM_013306
KLF17	NM_173484
CCDC105	NM_173482
WDR88	NM_173479
CNTD1	NM_173478
ZNF165	NM_003447
CCKBR	NM_176875
TMEM209	NM_032842
MEIG1	NM_001080836
TMEM52B	NM_153022
ZC3H8	NM_032494
STAT3	NM_139276
SSRP1	NM_003146
TCAP	NM_003673
CENPT	NM_025082
NOL9	NM_024654
MAP1LC3A	NM_181509
KLLN	NM_001126049
RIBC1	NM_001031745
SNAPC1	NM_003082
VPS37B	NM_024667
RDH14	NM_020905
ST6GALNAC5	NM_030965
GPR158	NM_020752
SBF2	NM_030962
TUFT1	NM_020127
BAK1	NM_001188
CWC27	NM_005869
SAP18	NM_005870
ST8SIA2	NM_006011
EFEMP1	NM_001039348
VTI1B	NM_006370
BIN3	NM_018688
CCDC30	NM_001080850
SLC5A12	NM_178498
LRRC70	NM_181506
BCL6B	NM_181844
ZBTB12	NM_181842
POU4F1	NM_006237
POU2AF1	NM_006235
BCL7C	NM_004765
REG1B	NM_006507
NUP88	NM_002532
TSSC1	NM_003310
SRY	NM_003140
TRIM21	NM_003141
C1orf61	NM_006365
P2RX1	NM_002558
ZNF705D	NM_001039615
NES	NM_006617
HOXA2	NM_006735
CALB1	NM_004929
SIGLEC5	NM_003830
PSMD8	NM_002812
GABARAPL1	NM_031412
PCDHA1	NM_018900
NUCKS1	NM_022731
GLIPR2	NM_022343
UGT1A9	NM_021027
TMEM234	NM_019118
LARS	NM_020117
BIRC8	NM_033341
CAPZA3	NM_033328
CLIC2	NM_001289
COL9A3	NM_001853
EVPLL	NM_001145127
CAB39	NM_016289
ZAK	NM_016653
SEPT11	NM_018243
SLC47A1	NM_018242
MBD3L3	NM_001164425
BET3L	NM_001139444
TTC39A	NM_001144832
JAG1	NM_000214
FBXL16	NM_153350
GAGE12J	NM_001098406
EPPIN-WFDC6	NM_001198986
DR1	NM_001938
OR5H6	NM_001005479
KRTAP5-7	NM_001012503
REP15	NM_001029874
RNASEH1	NM_002936
ZP2	NM_003460
PBX2	NM_002586
PCOLCE	NM_002593
TMEM64	NM_001008495
LRRC24	NM_001024678
C17orf105	NM_001136483
HIST1H2AJ	NM_021066
WDR48	NM_020839
HOMEZ	NM_020834
GCC1	NM_024523
ARHGAP21	NM_020824
MARVELD2	NM_001038603
AQP6	NM_001652
MEX3D	NM_001174118
C16orf52	NM_001164579
COL10A1	NM_000493
CFTR	NM_000492
HSPA5	NM_005347
HSPA1B	NM_005346
HSPA1A	NM_005345
BTN1A1	NM_001732
CD2	NM_001767
TOMM70A	NM_014820
POLR2J3	NM_001097615
SLITRK5	NM_015567
SLC7A11	NM_014331
DTX3L	NM_138287
LRRC29	NM_012163
NME5	NM_003551
KDM5C	NM_004187
ST8SIA3	NM_015879
VILL	NM_015873
C2CD3	NM_015531
POLA1	NM_016937
FKBP14	NM_017946
NAT9	NM_015654
SLC40A1	NM_014585
CA13	NM_198584
TMSB15B	NM_194324
FAM86A	NM_201400
IFI44	NM_006417
SPTLC1	NM_006415
USP16	NM_006447
C2orf27A	NM_013310
SLCO1B1	NM_006446
MANF	NM_006010
MRPL3	NM_007208
EID3	NM_001008394
FBP2	NM_003837
TNC	NM_002160
PTN	NM_002825
PTMS	NM_002824
NOL12	NM_024313
SYDE2	NM_032184
LLPH	NM_032338
RNPEPL1	NM_018226
MRPL22	NM_014180
ZNF416	NM_017879
C2orf42	NM_017880
PRSS41	NM_001135086
H2BFWT	NM_001002916
ACCSL	NM_001031854
ARHGEF33	NM_001145451
GAL3ST1	NM_004861
CLTC	NM_004859
ZBTB41	NM_194314
KIF24	NM_194313
C5	NM_001735
BHLHE40	NM_003670
LGR5	NM_003667
RAD21L1	NM_001136566
TNFSF9	NM_003811
B3GALT2	NM_003783
PASD1	NM_173493
PTCHD1	NM_173495
ANKRD29	NM_173505
CCDC67	NM_181645
KRTAP13-1	NM_181599
KRTAP4-6	NM_030976
NABP2	NM_024068
C15orf52	NM_207380
SIAH3	NM_198849
PHLDB3	NM_198850
TMEM189-UBE2V1	NM_199203
PINK1	NM_032409
KLHL22	NM_032775
DAB2IP	NM_032552
PKHD1	NM_138694
RPE65	NM_000329
PRRG2	NM_000951
GSTM5	NM_000851
GSTP1	NM_000852
BAI2	NM_001703
PLBD1	NM_024829
ARMS2	NM_001099667
ATP5J2-PTCD1	NM_001198879
ZNF335	NM_022095
GIN1	NM_017676
B3GNTL1	NM_001009905
SNX12	NM_013346
MXD3	NM_031300
C7orf65	NM_001123065
HEPACAM2	NM_001039372
PRLHR	NM_004248
FAM159B	NM_001164442
DCDC2B	NM_001099434
GTF2H2C	NM_001098728
KIAA1984	NM_001039374
NEIL3	NM_018248
C2orf88	NM_032321
NICN1	NM_032316
SLC24A6	NM_024959
DDX53	NM_182699
AEBP1	NM_001129
CTSO	NM_001334
ANPEP	NM_001150
BMPR2	NM_001204
SYT4	NM_020783
DGCR14	NM_022719
MAATS1	NM_033364
CDH7	NM_004361
TLX3	NM_021025
OPTC	NM_014359
CLEC4E	NM_014358
CDC42EP3	NM_006449
FAM47E-STBD1	NM_001242939
NAA15	NM_057175
SPATA4	NM_144644
SYNPR	NM_001130003
CH25H	NM_003956
TNFAIP6	NM_007115
GPD1L	NM_015141
SLC6A4	NM_001045
ATXN10	NM_013236
HOXD10	NM_002148
HOXB5	NM_002147
EIF5	NM_001969
RAB11FIP1	NM_001002814
ACSF2	NM_025149
RASL10B	NM_033315
COQ10B	NM_025147
RAI1	NM_030665
MAP2K2	NM_030662
ZRANB3	NM_032143
C5orf55	NM_138464
MTM1	NM_000252
MSH2	NM_000251
INTS10	NM_018142
UBE2QL1	NM_001145161
CCDC64B	NM_001103175
GNRH1	NM_000825
UBIAD1	NM_013319
SNX9	NM_016224
EDEM2	NM_018217
ENAH	NM_001008493
STARD7	NM_020151
KIF17	NM_020816
TMEM147	NM_032635
OR13J1	NM_001004487
OR13H1	NM_001004486
OR13F1	NM_001004485
OR13D1	NM_001004484
OR13C8	NM_001004483
OR13C5	NM_001004482
OR13C2	NM_001004481
GCOM1	NM_001018090
JKAMP	NM_016475
CA2	NM_000067
C8B	NM_000066
C3	NM_000064
IFT140	NM_014714
TOM1L2	NM_001082968
DAD1	NM_001344
NDST2	NM_003635
CGGBP1	NM_003663
TMEM104	NM_017728
DBC1	NM_014618
TFPT	NM_013342
TXNIP	NM_006472
AKAP10	NM_007202
TNFAIP1	NM_021137
PAQR9	NM_198504
PHLPP1	NM_194449
CHCHD1	NM_203298
ANO4	NM_178826
OR2C3	NM_198074
ADAM7	NM_003817
TNFRSF14	NM_003820
PDCD7	NM_005707
ANXA9	NM_003568
UNC13A	NM_001080421
NOXRED1	NM_001113475
HEPHL1	NM_001098672
NAA35	NM_024635
FLJ27352	NM_001198784
SERPINE3	NM_001101320
ZNF142	NM_001105537
METTL21D	NM_024558
SLC25A29	NM_001039355
CCDC88C	NM_001080414
ZNF99	NM_001080409
ABHD12	NM_015600
ZNF714	NM_182515
TTC21A	NM_145755
AKR1C1	NM_001353
DBP	NM_001352
DARS	NM_001349
RAB40AL	NM_001031834
AGPHD1	NM_001013619
FABP7	NM_001446
APOBEC3A_B	NM_001193289
PARK7	NM_007262
VPS45	NM_007259
PLEKHG3	NM_015549
LRIT2	NM_001017924
EIF5AL1	NM_001099692
SMARCD2	NM_001098426
NPW	NM_001099456
ATXN7L3	NM_020218
TENM4	NM_001098816
C7orf71	NM_001145531
SLX4	NM_032444
TIGD2	NM_145715
WFDC12	NM_080869
PKHD1L1	NM_177531
TMEM165	NM_018475
UBAP2	NM_018449
FAM105A	NM_019018
KAT6B	NM_012330
PIGN	NM_012327
LOXL4	NM_032211
AMIGO3	NM_198722
AKR1C2	NM_001354
MBD3L4	NM_001164419
TIE1	NM_005424
DIP2C	NM_014974
SERTAD1	NM_013376
ANAPC4	NM_013367
TRIM48	NM_024114
TAF1D	NM_024116
TREML2	NM_024807
RXRA	NM_002957
PLEK	NM_002664
PPFIA3	NM_003660
MAPK13	NM_002754
ST6GAL1	NM_003032
CDIPT	NM_006319
SGK2	NM_016276
CCDC47	NM_020198
TRIP4	NM_016213
BTNL2	NM_019602
TRIM49C	NM_001195234
ZNF662	NM_001134656
IGFL3	NM_207393
KRTDAP	NM_207392
OPN5	NM_181744
FOXR1	NM_181721
ASPHD1	NM_181718
KRTAP23-1	NM_181624
SIK1	NM_173354
ZDHHC21	NM_178566
OR5B2	NM_001005566
INTS1	NM_001080453
MESP2	NM_001039958
PSMB11	NM_001099780
NCR3LG1	NM_001202439
ZNF559-ZNF177	NM_001172650
EFCAB7	NM_032437
MECR	NM_016011
POGK	NM_017542
ZNF721	NM_133474
SETD1B	NM_015048
MYOZ2	NM_016599
SETX	NM_015046
KRTAP25-1	NM_001128598
JMJD7	NM_001114632
GTPBP5	NM_015666
LPO	NM_006151
RPS4X	NM_001007
ITPKA	NM_002220
IGF2R	NM_000876
RPLP0	NM_001002
NPY2R	NM_000910
RPS6	NM_001010
RPS5	NM_001009
MAOB	NM_000898
CCT6A	NM_001762
TST	NM_003312
COL16A1	NM_001856
MGAT2	NM_002408
YWHAG	NM_012479
HNRNPUL1	NM_007040
CCNYL1	NM_001142300
SPAG11A	NM_001081552
S1PR1	NM_001400
ELP4	NM_019040
FAM196B	NM_001129891
CTNNAL1	NM_003798
STAT5A	NM_003152
ATP6V1G1	NM_004888
TOP3A	NM_004618
TRPC6	NM_004621
OLFM4	NM_006418
ATOH1	NM_005172
ATF1	NM_005171
EXOC5	NM_006544
S1PR3	NM_005226
TTLL4	NM_014640
ALPK3	NM_020778
MT3	NM_005954
MT2A	NM_005953
MT1X	NM_005952
MT1H	NM_005951
CCDC58	NM_001017928
WTIP	NM_001080436
C4orf17	NM_032149
SLC41A2	NM_032148
RAB6C	NM_032144
CEP192	NM_032142
C17orf78	NM_173625
TREML4	NM_198153
ZNF100	NM_173531
KLRC4-KLRK1	NM_001199805
PRR23C	NM_001134657
ZFP92	NM_001136273
SCN4A	NM_000334
F11	NM_000128
C12orf49	NM_024738
ZSWIM6	NM_020928
IGDCC4	NM_020962
MPHOSPH9	NM_022782
ETNK2	NM_018208
RERGL	NM_024730
TMEM181	NM_020823
WNK3	NM_020922
ZHX1-C8ORF76	NM_001204180
C8orf44-SGK3	NM_001204173
PRSS35	NM_153362
MGAT5B	NM_198955
AP1M2	NM_005498
SH3PXD2A	NM_014631
ZNF592	NM_014630
CCDC65	NM_033124
CABS1	NM_033122
CITED4	NM_133467
KIAA1958	NM_133465
TUBB1	NM_030773
L3MBTL4	NM_173464
BTBD19	NM_001136537
MACF1	NM_012090
CXCL13	NM_006419
LCN12	NM_178536
TRAPPC2L	NM_016209
LSM7	NM_016199
RIMS3	NM_014747
MTUS2	NM_001033602
GDAP2	NM_017686
ICOSLG	NM_015259
PLEKHF2	NM_024613
FAM22F	NM_017561
FNDC8	NM_017559
USP13	NM_003940
ALDOC	NM_005165
C16orf58	NM_022744
MS4A8B	NM_031457
CDC25C	NM_001790
SMURF2	NM_022739
LPPR2	NM_001170635
ACBD3	NM_022735
CD81	NM_004356
CDC34	NM_004359
CDC25B	NM_021873
PMPCB	NM_004279
PIGL	NM_004278
LCP2	NM_005565
CCL26	NM_006072
PPYR1	NM_005972
FBXL4	NM_012160
TFF2	NM_005423
FTCD	NM_006657
LYZL2	NM_183058
CCDC60	NM_178499
MARCH10	NM_152598
PID1	NM_017933
CD1C	NM_001765
COL15A1	NM_001855
C11orf73	NM_016401
DRAM1	NM_018370
LMBRD1	NM_018368
STYK1	NM_018423
GOLGA6B	NM_018652
COQ3	NM_017421
CCDC174	NM_016474
MARCH8	NM_145021
CCDC11	NM_145020
C19orf81	NM_001195076
CISD1	NM_018464
TRIB2	NM_021643
OR2S2	NM_019897
POLE4	NM_019896
RASSF10	NM_001080521
KLHL38	NM_001081675
MIDN	NM_177401
NKX6-2	NM_177400
P2RY13	NM_176894
NR2C2AP	NM_176880
C4orf29	NM_001039717
PSMB7	NM_002799
RPL39	NM_001000
CFI	NM_000204
HPRT1	NM_000194
SHH	NM_000193
COL3A1	NM_000090
STS	NM_000351
PHEX	NM_000444
TMEM140	NM_018295
PRR11	NM_018304
NAP1L3	NM_004538
TNFSF12	NM_003809
RBL1	NM_002895
CCR4	NM_005508
C7orf53	NM_182597
ZNF679	NM_153363
ZNF791	NM_153358
SLC43A2	NM_152346
ATP13A5	NM_198505
ZNF660	NM_173658
C3orf33	NM_173657
RNMT	NM_003799
ITPKB	NM_002221
ITIH4	NM_002218
PATE2	NM_212555
METTL10	NM_212554
AMTN	NM_212557
FBXO39	NM_153230
ANKFN1	NM_153228
SBSPON	NM_153225
SPR	NM_003124
KDM2A	NM_012308
TNFRSF21	NM_014452
SERP1	NM_014445
TDRD3	NM_001146070
NUP107	NM_020401
GKN1	NM_019617
IPPK	NM_022755
ATP6AP1	NM_001183
SLC5A7	NM_021815
OR51B4	NM_033179
OR51B2	NM_033180
TMEM47	NM_031442
METTL17	NM_001029991
NUDT12	NM_031438
ELOVL4	NM_022726
FANCF	NM_022725
AQP1	NM_198098
C11orf80	NM_024650
TUBA1C	NM_032704
PALB2	NM_024675
USP38	NM_032557
GPR174	NM_032553
KIAA0319L	NM_024874
CCDC88B	NM_032251
ANKRD55	NM_024669
TBL1XR1	NM_024665
PPCS	NM_024664
SMPD3	NM_018667
ZNF594	NM_032530
PDCD2L	NM_032346
OSBP2	NM_030758
TRIM63	NM_032588
ELMO3	NM_024712
C1orf115	NM_024709
FIS1	NM_016068
CHRNA4	NM_000744
CHRNA2	NM_000742
ZNF491	NM_152356
CLDND2	NM_152353
CCDC158	NM_001042784
PIRT	NM_001101387
PLA2G5	NM_000929
MAGEA1	NM_004988
FXR1	NM_005087
WFIKKN2	NM_175575
AKAP6	NM_004274
DNAJC3	NM_006260
CTSH	NM_004390
NOP56	NM_006392
ZFAND2B	NM_138802
MYZAP	NM_001018100
ADRA2B	NM_000682
ADRA2A	NM_000681
DNAJA3	NM_005147
AKAP8	NM_005858
ZMPSTE24	NM_005857
ZNHIT3	NM_004773
PIGK	NM_005482
MED16	NM_005481
IGF2BP3	NM_006547
INSL5	NM_005478
DLK1	NM_003836
MMP8	NM_002424
UVRAG	NM_003369
ARSF	NM_004042
MMP13	NM_002427
ROBO2	NM_002942
SLC6A1	NM_003042
CLEC2A	NM_001130711
LAMC1	NM_002293
TMPO	NM_003276
SLIT1	NM_003061
CD1B	NM_001764
WNT6	NM_006522
AUH	NM_001698
ATP5O	NM_001697
PGC	NM_002630
HSD3B7	NM_025193
EPPIN	NM_020398
BCL2L10	NM_020396
MAGEF1	NM_022149
MRPS10	NM_018141
CEP72	NM_018140
XRCC6BP1	NM_033276
ZNF479	NM_033273
SCT	NM_021920
GPR146	NM_138445
C22orf32	NM_033318
CLLU1OS	NM_001025232
DENR	NM_003677
KCNA5	NM_002234
EFNA2	NM_001405
DUSP9	NM_001395
KDELR1	NM_006801
TOLLIP	NM_019009
PDXP	NM_020315
C16orf62	NM_020314
CIAPIN1	NM_020313
CXCR7	NM_020311
AKD1	NM_001145128
ZBTB11	NM_014415
ABCA7	NM_019112
PPRC1	NM_015062
SRSF6	NM_006275
KRR1	NM_007043
OR5H1	NM_001005338
ZFHX3	NM_006885
UTP3	NM_020368
EDAR	NM_022336
TMEM246	NM_032342
HELB	NM_033647
WDR17	NM_170710
PRAMEF13	NM_001024661
RPL22L1	NM_001099645
ACVRL1	NM_000020
HEPACAM	NM_152722
LOC100131094	NM_001242901
LOC100287036	NM_001242885
NUDT17	NM_001012758
PGP	NM_001042371
C15orf60	NM_001042367
BRI3BP	NM_080626
CCM2L	NM_080625
SAMD10	NM_080621
KRT6C	NM_173086
WFDC3	NM_080614
COQ5	NM_032314
SPATA25	NM_080608
TTLL2	NM_031949
EMILIN2	NM_032048
FBXO41	NM_001080410
HSPB11	NM_016126
SLURP1	NM_020427
TMEM159	NM_020422
DDX24	NM_020414
CHMP1B	NM_020412
ATP13A1	NM_020410
PRDM14	NM_024504
GIMAP4	NM_018326
YIF1A	NM_020470
HTR5A	NM_024012
PPA1	NM_021129
POLR2L	NM_021128
RAB14	NM_016322
TBC1D19	NM_018317
LRRC19	NM_022901
POM121L2	NM_033482
SPATA9	NM_031952
WDR87	NM_031951
TSSK1B	NM_032028
FGFBP2	NM_031950
C10orf88	NM_024942
DCLRE1B	NM_022836
SHISA7	NM_001145176
DEFB112	NM_001037498
DEFB110	NM_001037497
TTLL3	NM_001025930
DNAH5	NM_001369
SLC37A1	NM_018964
BARHL1	NM_020064
DRG1	NM_004147
ACTL7B	NM_006686
PTGES	NM_004878
ZNF829	NM_001171979
GGTLC2	NM_199127
RAMP1	NM_005855
MED12L	NM_053002
GALM	NM_138801
SLC35E3	NM_018656
TM9SF4	NM_014742
RXRB	NM_001270401
FAM175A	NM_139076
TPCN2	NM_139075
C3orf30	NM_152539
SCFD2	NM_152540
IGSF11	NM_001015887
FGD5	NM_152536
